epoch,loss,accuracy,recall_1,precision,val_loss,val_accuracy,val_recall_1,val_precision
1,0.6766310334205627,0.6214848160743713,0.570303738117218,0.6353383660316467,0.5871437788009644,0.7400000095367432,0.0729166641831398,0.7777777910232544
2,0.6404427886009216,0.6214848160743713,0.5680540204048157,0.6360201239585876,0.454090416431427,0.7771428823471069,0.6875,0.5789473652839661
3,0.5891448259353638,0.6867266297340393,0.7007874250411987,0.6816192269325256,0.5667118430137634,0.6485714316368103,0.9270833134651184,0.4341463446617126
4,0.5743024349212646,0.696287989616394,0.7412823438644409,0.6800825595855713,0.443512886762619,0.7714285850524902,0.5833333134651184,0.5833333134651184
5,0.5298486351966858,0.7497187852859497,0.7986501455307007,0.7274590134620667,0.4439779222011566,0.7971428632736206,0.7604166865348816,0.6033057570457458
6,0.4753923714160919,0.7812148332595825,0.8188976645469666,0.7615062594413757,0.5223957896232605,0.7200000286102295,0.8229166865348816,0.4937500059604645
7,0.4608988761901855,0.7885264158248901,0.8188976645469666,0.772004246711731,0.3945609927177429,0.8171428442001343,0.8125,0.6290322542190552
8,0.4575322866439819,0.7823396921157837,0.8076490163803101,0.7687366008758545,0.4137239158153534,0.8114285469055176,0.8229166865348816,0.6171875
9,0.4435839354991913,0.8031495809555054,0.8436445593833923,0.7804370522499084,0.4102805554866791,0.8142856955528259,0.6458333134651184,0.6666666865348816
10,0.4065495431423187,0.8143982291221619,0.8425197005271912,0.7976570725440979,0.4482579827308655,0.7885714173316956,0.8125,0.5820895433425903
11,0.4026064872741699,0.8262092471122742,0.854893147945404,0.8085106611251831,0.3926137387752533,0.8142856955528259,0.84375,0.6183205842971802
12,0.3720642924308777,0.84139484167099,0.8751406073570251,0.8198103308677673,0.4467839300632477,0.8171428442001343,0.59375,0.6951219439506531
13,0.4463402330875397,0.7857142686843872,0.8053992986679077,0.7748917937278748,0.4019074738025665,0.822857141494751,0.7395833134651184,0.6574074029922485
14,0.3567798733711242,0.8487064242362976,0.8830146193504333,0.8263157606124878,0.36173215508461,0.8428571224212646,0.8125,0.678260862827301
15,0.3602028489112854,0.8363329768180847,0.8773903250694275,0.8108108043670654,0.3403124213218689,0.8371428847312927,0.7083333134651184,0.7010309100151062
16,0.3158186376094818,0.8610798716545105,0.887514054775238,0.8429487347602844,0.3694150149822235,0.8657143115997314,0.5833333134651184,0.8888888955116272
17,0.3090446889400482,0.8672665953636169,0.8931383490562439,0.8491978645324707,0.3269640803337097,0.8628571629524231,0.7708333134651184,0.7400000095367432
18,0.3093153834342956,0.8678290247917175,0.8953880667686462,0.8486140966415405,0.3056853711605072,0.8828571438789368,0.8125,0.7722772359848022
19,0.2782688438892364,0.8813273310661316,0.9088863730430604,0.8614072203636169,0.3292008340358734,0.8799999952316284,0.7708333134651184,0.7872340679168701
20,0.2891208529472351,0.874015748500824,0.9077615141868592,0.8503687977790833,0.3514268398284912,0.8828571438789368,0.75,0.8089887499809265
21,0.2804848551750183,0.8802024722099304,0.9122609496116638,0.8572938442230225,0.328368067741394,0.8885714411735535,0.6770833134651184,0.8904109597206116
22,0.3163776695728302,0.8678290247917175,0.8841394782066345,0.8562091588973999,0.3304518461227417,0.8742856979370117,0.75,0.782608687877655
23,0.2646795809268951,0.8880764842033386,0.9122609496116638,0.8701716661453247,0.3621459305286407,0.8514285683631897,0.8333333134651184,0.6896551847457886
